Districts,Houses Allotted,Houses Allotted Rural,Houses Allotted Urban,Houses Sanctioned,Houses Allotted vs Houses Sanctioned
ADILABAD,1510,850,660,610,900
BHADRADRI,2140,1340,800,2140,0
HYDERABAD,800,480,320,400,400
JAGTIAL ,6000,0,6000,7607,-1607
JANGAON ,1415,1095,320,1415,0
JAYASHANKAR ,966,966,0,966,0
JOGULAMBA ,3077,2277,800,677,2400
KAMAREDDY ,2675,2475,200,2675,0
KARIMNAGAR ,1462,1142,320,1462,0
KHAMMAM ,3700,1700,2000,3700,0
KOMARAM BHEEM ,750,590,160,750,0
MAHABUBABAD,4440,1660,2780,3640,800
MAHABUBNAGAR,1369,1369,0,1369,0
MANCHERIAL ,1530,800,730,1530,0
MEDAK ,1986,1436,550,1756,230
MEDCHAL,2650,890,1760,1334,1316
NAGARKURNOOL ,2000,1160,840,1200,800
NALGONDA ,2400,1920,480,2000,400
NIRMAL ,960,640,320,778,182
NIZAMABAD ,4990,3030,1960,4990,0
PEDDAPALLI ,1003,683,320,1003,0
RAJANNA ,2270,1010,1260,2270,0
RANGAREDDY ,3060,1720,1340,2706,354
SANGAREDDY ,1900,1420,480,1900,0
SIDDIPET ,8679,4149,4530,6884,1795
SURYAPET ,1600,1120,480,1200,400
VIKARABAD ,1800,880,920,1400,400
WANAPARTHY ,400,240,160,200,200
WARANGAL (R) ,1605,1605,0,805,800
WARANGAL (U),2659,475,2184,2259,400
YADADRI ,800,640,160,800,0
