S. No,City,Total   - Male,Total   - Female
1,Ahmedabad (Gujarat),31898,3054
2,Bengaluru(Karnataka),26337,2021
3,Chennai(Tamil Nadu),53804,4704
4,Coimbatore(Tamil Nadu),6940,1032
5,Delhi ,96959,2127
6,Ghaziabad(Uttar Pradesh),4270,7
7,Hyderabad(Telangana),7890,310
8,Indore(Madhya Pradesh),9231,537
9,Jaipur(Rajasthan),15109,1235
10,Kanpur(Uttar Pradesh),8349,76
11,Kochi(Kerala),14930,279
12,Kolkata(West Bengal),12249,2243
13,Kozhikode(Kerala),4087,171
14,Lucknow(Uttar Pradesh),8272,0
15,Mumbai(Maharashtra),51312,3231
16,Nagpur(Maharashtra),10614,464
17,Patna(Bihar),8236,48
18,Pune(Maharashtra),15985,1138
19,Surat(Gujarat),24378,1242
