S. No,City, Juveniles Apprehended - Total,18 and above and below 30 years - Total,30 and above and below 45 years - Total,45 and above and below 60 years - Total,60 years and above - Total
1,Ahmedabad (Gujarat),298,15438,13675,4932,609
2,Bengaluru(Karnataka),200,14156,10576,2912,514
3,Chennai(Tamil Nadu),816,14834,23771,16987,2100
4,Coimbatore(Tamil Nadu),35,3736,2967,948,286
5,Delhi ,3075,55132,31308,9035,536
6,Ghaziabad(Uttar Pradesh),0,1197,2242,838,0
7,Hyderabad(Telangana),377,2989,3505,1227,102
8,Indore(Madhya Pradesh),281,5644,3071,709,63
9,Jaipur(Rajasthan),405,8121,5007,2671,140
10,Kanpur(Uttar Pradesh),9,5412,2245,759,0
11,Kochi(Kerala),15,6303,6067,2631,193
12,Kolkata(West Bengal),19,7885,5078,1472,38
13,Kozhikode(Kerala),26,1406,1972,701,153
14,Lucknow(Uttar Pradesh),80,8192,0,0,0
15,Mumbai(Maharashtra),668,28095,19421,5741,618
16,Nagpur(Maharashtra),444,5078,4511,982,63
17,Patna(Bihar),15,4511,2855,903,0
18,Pune(Maharashtra),420,8205,6358,1897,243
19,Surat(Gujarat),623,13520,8187,3040,250
